,Unnamed: 0.1,PID,GrLivArea,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,MSSubClass.1,MoSold.1,MSZoning_C (all),MSZoning_FV,MSZoning_I (all),MSZoning_RH,MSZoning_RL,MSZoning_RM,Street_Pave,Alley_None,Alley_Pave,LandContour_HLS,LandContour_Low,LandContour_Lvl,Utilities_NoSewr,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Condition1_Feedr,Condition1_Norm,Condition1_PosA,Condition1_PosN,Condition1_RRAe,Condition1_RRAn,Condition1_RRNe,Condition1_RRNn,Condition2_Feedr,Condition2_Norm,Condition2_PosA,Condition2_PosN,Condition2_RRAe,Condition2_RRAn,Condition2_RRNn,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,RoofMatl_Membran,RoofMatl_Metal,RoofMatl_Roll,RoofMatl_Tar&Grv,RoofMatl_WdShake,RoofMatl_WdShngl,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_PreCast,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,Exterior2nd_AsphShn,Exterior2nd_Brk Cmn,Exterior2nd_BrkFace,Exterior2nd_CBlock,Exterior2nd_CmentBd,Exterior2nd_HdBoard,Exterior2nd_ImStucc,Exterior2nd_MetalSd,Exterior2nd_Plywood,Exterior2nd_PreCast,Exterior2nd_Stone,Exterior2nd_Stucco,Exterior2nd_VinylSd,Exterior2nd_Wd Sdng,Exterior2nd_Wd Shng,MasVnrType_BrkFace,MasVnrType_None,MasVnrType_Stone,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,CentralAir_Y,Electrical_FuseF,Electrical_FuseP,Electrical_Mixed,Electrical_SBrkr,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_No,GarageFinish_No,GarageFinish_RFn,GarageFinish_Unf,PavedDrive_P,PavedDrive_Y,Fence_GdWo,Fence_MnPrv,Fence_MnWw,Fence_No,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial,log_2ndFlrSF,yeo_LotFrontage,log_LotFrontage,log_BsmtUnfSF,log_EnclosedPorch,bc_GrLivArea,log_LotArea,log_MasVnrArea,yeo_TotalBsmtSF,log_first_FlrSF,yeo_GarageArea,log_WoodDeckSF,log_OpenPorchSF,has_pool,log_BsmtFinSF1
278,279,907200270,1040,20,RL,45.0,8982,Pave,None,3,Lvl,AllPub,CulDSac,3,CollgCr,Norm,Norm,1Fam,1Story,5,5,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,CBlock,4,3,2,5,539.0,1,0.0,501.0,1040.0,GasA,3,Y,SBrkr,1040,0,0,0.0,0.0,1,1,3,1,3,5,8,0,0,Detchd,1977.0,Unf,2.0,748.0,3,3,Y,0,0,0,0,0,0,,MnPrv,No,0,1,2007,WD ,Normal,20,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0.0,21.662192389294948,3.828641396489095,6.218600119691729,0.0,7.9926594212597495,9.102977853647683,0.0,302.55015318301065,6.946975992135418,264.86686642243956,0.0,0.0,False,6.29156913955832
1287,288,908102170,1196,20,RL,60.0,10044,Pave,None,3,Low,AllPub,CulDSac,3,Edwards,Norm,Norm,1Fam,1Story,5,6,1968,1968,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,4,3,3,5,1070.0,1,0.0,126.0,1196.0,GasA,3,Y,SBrkr,1196,0,0,1.0,0.0,1,0,3,1,3,6,8,0,0,Attchd,1968.0,RFn,1.0,336.0,3,3,Y,257,0,168,0,0,0,,MnPrv,No,0,6,2010,WD ,Normal,20,6,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0.0,27.012664753005513,4.110873864173311,4.844187086458591,5.1298987149230735,8.177016335256774,9.214730720277476,0.0,337.9156458352009,7.086737934510577,137.8668720597827,5.552959584921617,0.0,False,6.976348070447749
185,186,905202210,1000,20,RL,87.0,13050,Pave,None,4,Low,AllPub,Inside,2,ClearCr,Norm,Norm,1Fam,1Story,5,6,1963,1963,Flat,Tar&Grv,WdShing,Wd Shng,None,0.0,3,3,CBlock,4,3,2,3,104.0,5,850.0,46.0,1000.0,GasA,5,Y,SBrkr,1000,0,0,1.0,0.0,1,0,1,1,3,4,8,2,3,Attchd,1993.0,Unf,2.0,575.0,3,3,Y,238,0,148,0,0,0,,No,No,0,4,2006,WD ,Normal,20,4,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0.0,35.85757781591734,4.477336814478207,3.8501476017100584,5.003946305945459,7.941106700981936,9.47654341275084,0.0,293.30640518947456,6.907755278982137,213.74989291393783,5.476463551931511,0.0,False,4.653960350157523
1588,589,527354200,1707,20,RL,80.0,11088,Pave,None,4,Lvl,AllPub,Inside,3,NWAmes,Norm,Norm,1Fam,1Story,6,5,1978,1998,Gable,CompShg,HdBoard,HdBoard,BrkFace,144.0,3,3,PConc,3,3,0,5,832.0,1,0.0,308.0,1140.0,GasA,4,Y,SBrkr,1707,0,0,0.0,0.0,2,0,3,1,3,7,8,1,3,Attchd,1978.0,Fin,2.0,479.0,3,3,Y,0,0,0,0,0,0,,No,No,0,5,2009,WD ,Normal,20,5,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0.0,33.641936302555735,4.394449154672439,5.733341276897746,0.0,8.650899071429743,9.313618721429684,4.976733742420574,325.33944273294344,7.442492722794441,184.15933183500178,0.0,0.0,False,6.725033642166843
1715,716,909250220,1981,50,RL,65.0,7804,Pave,None,4,Lvl,AllPub,Inside,3,SWISU,Norm,Norm,1Fam,1.5Fin,4,3,1928,1950,Gable,CompShg,WdShing,Plywood,None,0.0,3,3,BrkTil,3,3,0,4,622.0,1,0.0,500.0,1122.0,GasA,3,Y,SBrkr,1328,653,0,1.0,0.0,2,0,4,1,4,7,6,2,3,Detchd,1981.0,Unf,2.0,576.0,3,3,Y,431,44,0,0,0,0,,MnPrv,No,0,12,2009,WD ,Normal,50,12,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,6.483107351457199,28.716951198497902,4.189654742026425,6.2166061010848646,0.0,8.85117670095422,8.962391701743002,0.0,321.2695972395676,7.191429330036379,214.0529898567165,6.068425588244111,3.8066624897703196,False,6.434546518787453
2459,643,923230180,768,85,RL,54.0,7244,Pave,None,4,Lvl,AllPub,Inside,3,Mitchel,Norm,Norm,1Fam,SFoyer,5,7,1970,1970,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,4,3,2,5,619.0,1,0.0,149.0,768.0,GasA,5,Y,SBrkr,768,0,0,1.0,0.0,1,0,2,1,3,5,8,0,0,Detchd,1987.0,Unf,2.0,624.0,3,3,Y,104,0,0,0,0,0,,No,No,0,4,2007,WD ,Normal,85,4,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0.0,24.91877926159966,4.007333185232471,5.0106352940962555,0.0,7.596211670462396,8.887928819003305,0.0,238.00758476160317,6.643789733147672,228.48924053493153,4.653960350157523,0.0,False,6.429719478039138
724,725,909451100,1229,160,RM,24.0,1488,Pave,None,4,Lvl,AllPub,Inside,3,Blueste,Norm,Norm,TwnhsE,2Story,6,6,1980,1992,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,4,3,1,5,471.0,1,0.0,90.0,561.0,GasA,3,Y,SBrkr,561,668,0,1.0,0.0,1,1,2,1,4,5,8,1,3,Attchd,1980.0,Fin,2.0,462.0,3,3,Y,176,0,0,0,0,0,,GdPrv,No,0,10,2009,WD ,Normal,160,10,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6.505784060128229,13.298976868435444,3.2188758248682006,4.51085950651685,0.0,8.213037687070006,7.305188215393037,0.0,185.58664128284911,6.329720905522696,178.80836728690443,5.176149732573829,0.0,False,6.156978985585555
2409,593,907130110,1499,60,RL,65.0,12438,Pave,None,3,Lvl,AllPub,Inside,3,CollgCr,PosN,Norm,1Fam,2Story,6,5,1995,1995,Gable,CompShg,VinylSd,VinylSd,BrkFace,68.0,4,3,PConc,4,3,0,1,0.0,1,0.0,781.0,781.0,GasA,5,Y,SBrkr,795,704,0,0.0,0.0,2,1,3,1,4,6,8,1,3,Attchd,1995.0,RFn,2.0,473.0,3,3,Y,413,91,0,0,0,0,,No,No,0,8,2006,WD ,Normal,60,8,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,6.558197802812269,28.716951198497902,4.189654742026425,6.661854740545311,0.0,8.477041916322559,9.428511581663834,4.23410650459726,241.19163930962617,6.678342114654332,182.27488445982146,6.025865973825314,4.5217885770490405,False,0.0
19,20,923252075,1091,80,RL,62.0,7706,Pave,None,4,Lvl,AllPub,Inside,3,Mitchel,Norm,Norm,1Fam,SLvl,6,5,1993,1996,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,CBlock,4,3,2,3,114.0,6,270.0,0.0,384.0,GasA,5,Y,SBrkr,1091,0,0,0.0,1.0,1,0,2,1,3,5,8,0,0,Attchd,1993.0,Fin,1.0,429.0,3,3,Y,280,0,0,0,0,0,,No,Shed,700,8,2009,WD ,Normal,80,8,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0.0,27.698570063702473,4.143134726391533,0.0,0.0,8.055694483777799,8.949754525186103,0.0,137.3954866939828,6.994849985833071,168.3139873823431,5.638354669333745,0.0,False,4.74493212836325
468,469,533128030,2295,60,RL,67.0,13346,Pave,None,3,Lvl,AllPub,CulDSac,3,NoRidge,Norm,Norm,1Fam,2Story,7,5,1992,2000,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,PConc,4,3,0,6,728.0,1,0.0,367.0,1095.0,GasA,5,Y,SBrkr,1166,1129,0,1.0,0.0,2,1,4,1,4,9,8,1,3,Attchd,1992.0,RFn,2.0,590.0,3,3,Y,0,40,0,0,0,0,,No,No,0,7,2006,WD ,Normal,60,7,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,7.029972911706386,29.38919864320102,4.219507705176107,5.908082938168931,0.0,9.050282042490224,9.498971993463552,0.0,315.1388374852557,7.061334366910438,218.28608274299376,0.0,3.713572066704308,False,6.591673732008658
54,55,904301060,1200,90,RL,60.0,10800,Pave,None,4,Lvl,AllPub,Inside,3,Edwards,Norm,Norm,Duplex,1Story,5,5,1987,1988,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,4,4,3,6,1200.0,1,0.0,0.0,1200.0,GasA,3,Y,SBrkr,1200,0,0,3.0,0.0,3,0,3,1,3,5,8,0,0,No,,No,0.0,0.0,0,0,Y,120,0,0,0,0,0,,No,No,0,3,2009,WD ,Alloca,90,3,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0.0,27.012664753005513,4.110873864173311,0.0,0.0,8.181433055717724,9.287301413112312,0.0,338.8091243761027,7.090076835776092,0.0,4.795790545596741,0.0,False,7.0909098220799835
1456,457,535478090,864,20,RL,70.0,7000,Pave,None,4,Lvl,AllPub,Inside,3,NAmes,Artery,Norm,1Fam,1Story,5,6,1962,1962,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,0,4,468.0,1,0.0,396.0,864.0,GasA,4,Y,SBrkr,864,0,0,0.0,1.0,1,0,3,1,3,5,8,0,0,Attchd,1962.0,Unf,1.0,336.0,3,3,Y,0,0,0,0,0,0,,GdWo,No,0,2,2006,WD ,Normal,20,2,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0.0,30.38804952855421,4.2626798770413155,5.983936280687191,0.0,7.749662085803358,8.85366542803745,0.0,261.2662165134036,6.761572768804055,137.8668720597827,0.0,0.0,False,6.150602768446279
1642,643,902201090,1174,50,RM,120.0,9000,Pave,None,4,Lvl,AllPub,Corner,3,OldTown,Norm,Norm,1Fam,1.5Fin,5,8,1900,2006,Gable,CompShg,Stucco,Stucco,None,0.0,3,3,BrkTil,3,2,0,4,130.0,1,0.0,550.0,680.0,GasA,5,Y,SBrkr,680,494,0,0.0,0.0,1,0,2,1,4,6,8,1,4,Detchd,2000.0,Unf,2.0,576.0,3,3,Y,116,26,40,0,0,0,,MnPrv,No,0,6,2007,WD ,Normal,50,6,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,6.20455776256869,45.75554467864836,4.795790545596741,6.311734809152915,3.713572066704308,8.152467808998143,9.104979856318357,0.0,216.1415464103821,6.522092798170152,214.0529898567165,4.762173934797756,3.295836866004329,False,4.875197323201151
2053,237,535375130,1034,50,RL,60.0,10134,Pave,None,4,Lvl,AllPub,Inside,3,OldTown,Norm,Norm,1Fam,1.5Fin,5,6,1940,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,0,1,0.0,1,0.0,735.0,735.0,GasA,4,Y,FuseA,735,299,0,0.0,0.0,1,0,2,1,3,5,8,0,0,Detchd,1940.0,Unf,1.0,240.0,3,3,Y,0,39,0,0,0,0,,No,No,0,7,2007,WD ,Normal,50,7,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,5.703782474656201,27.012664753005513,4.110873864173311,6.601230118728877,0.0,7.985049217201279,9.223651386035854,0.0,229.8732264298317,6.5998704992128365,104.70666334803434,0.0,3.6888794541139363,False,0.0
1424,425,910205130,1558,50,RM,75.0,13710,Pave,None,4,Lvl,AllPub,Inside,3,IDOTRR,Norm,Norm,1Fam,1.5Fin,5,5,1950,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,0,4,420.0,1,0.0,490.0,910.0,GasA,3,Y,FuseA,910,648,0,0.0,0.0,1,1,4,1,3,6,8,0,0,Attchd,1950.0,Unf,1.0,282.0,3,3,Y,289,0,0,0,0,0,,MnPrv,No,0,6,2007,WD ,Normal,50,6,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,6.47543271670409,32.028881237090715,4.330733340286331,6.19644412779452,0.0,8.528601526012567,9.52588077255636,0.0,272.2150295351632,6.813444599510896,119.4721749587084,5.66988092298052,0.0,False,6.042632833682381
1405,406,527353060,2673,60,RL,67.0,12388,Pave,None,3,Lvl,AllPub,Inside,3,NWAmes,Norm,Norm,1Fam,2Story,7,7,1980,1991,Gable,CompShg,Plywood,Plywood,BrkFace,229.0,3,3,CBlock,4,3,0,5,602.0,1,0.0,441.0,1043.0,GasA,3,Y,SBrkr,1539,1134,0,0.0,0.0,2,1,4,1,4,9,8,1,3,BuiltIn,1980.0,RFn,2.0,441.0,3,3,Y,178,84,0,0,0,0,,No,No,0,8,2009,WD ,Normal,60,8,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,7.034387929915503,29.38919864320102,4.219507705176107,6.091309882077698,0.0,9.257833855478186,9.424483541093094,5.438079308923196,303.24037504673674,7.338888133838879,172.1470487642415,5.187385805840755,4.442651256490317,False,6.401917196727186
1515,516,907202050,1040,20,RL,61.0,8800,Pave,None,3,Lvl,AllPub,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,5,7,1977,2008,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,4,3,1,2,532.0,3,144.0,364.0,1040.0,GasA,3,Y,SBrkr,1040,0,0,0.0,0.0,2,0,3,1,4,5,8,0,0,Detchd,1977.0,Unf,2.0,484.0,3,3,Y,0,0,0,0,288,0,,No,No,0,9,2009,WD ,Normal,20,9,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0.0,27.356334608121728,4.127134385045092,5.8998973535824915,0.0,7.9926594212597495,9.082507000466299,0.0,302.55015318301065,6.946975992135418,185.72632688865514,0.0,0.0,False,6.278521424165844
