,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,MoSold,YrSold,SaleType,SaleCondition,log_price,bc_GrLivArea,has_pool,has_miscfeature,alley_access,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,BldgType_TwnhsE,HouseStyle_1.5Unf,HouseStyle_1Story,HouseStyle_2.5Fin,HouseStyle_2.5Unf,HouseStyle_2Story,HouseStyle_SFoyer,HouseStyle_SLvl,PavedDrive_P,PavedDrive_Y,MoSold_10,MoSold_11,MoSold_12,MoSold_2,MoSold_3,MoSold_4,MoSold_5,MoSold_6,MoSold_7,MoSold_8,MoSold_9,MSSubClass_60,MSSubClass_50,MSSubClass_30
2336,1403,202000,20,RL,,8098,Pave,3,Lvl,AllPub,Inside,3,Timber,Norm,Norm,1Fam,1Story,6,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,Wood,4,3,2,6,1136.0,4,116.0,129.0,1381.0,GasA,5,Y,SBrkr,1403,0,0,1.0,0.0,2,0,2,1,4,5,8,0,0,Attchd,2000.0,Unf,2.0,470.0,3,3,Y,0,173,0,0,0,0,No,0,10,2006,WD ,Normal,12.216022976383341,9.04089933545026,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
410,1132,176000,20,RL,60.0,7024,Pave,4,Lvl,AllPub,Inside,3,Edwards,Norm,Norm,1Fam,1Story,4,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,0,6,1024.0,1,0.0,108.0,1132.0,GasA,5,Y,SBrkr,1132,0,0,1.0,0.0,1,1,2,1,4,5,8,0,0,Attchd,2005.0,Fin,2.0,451.0,3,3,Y,252,64,0,0,0,0,No,0,6,2008,WD ,Normal,12.078239274020289,8.713918449908375,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
186,2486,220000,50,RM,90.0,33120,Pave,1,Lvl,AllPub,Inside,3,OldTown,RRAn,Feedr,1Fam,1.5Fin,6,5,1962,1962,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,3,3,CBlock,3,3,0,1,0.0,1,0.0,1595.0,1595.0,GasA,3,Y,SBrkr,1611,875,0,0.0,0.0,2,0,5,1,3,8,8,1,4,Detchd,1962.0,Unf,2.0,576.0,3,3,Y,0,0,0,0,0,0,No,0,10,2006,WD ,Normal,12.301382825334498,9.932916273929628,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2046,1684,266000,120,RL,63.0,8849,Pave,3,Lvl,AllPub,Inside,3,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,616.0,5,3,PConc,5,3,0,6,28.0,1,0.0,1656.0,1684.0,GasA,5,Y,SBrkr,1684,0,0,0.0,0.0,2,0,2,1,5,6,8,1,5,Attchd,2005.0,RFn,2.0,564.0,3,3,Y,495,72,0,0,0,0,No,0,7,2008,WD ,Normal,12.491251587763836,9.322301333405674,False,False,False,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1880,988,113000,20,RL,100.0,21750,Pave,4,HLS,AllPub,Inside,2,Mitchel,Artery,Norm,1Fam,1Story,5,5,1954,1954,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,0,1,0.0,1,0.0,988.0,988.0,GasA,5,Y,FuseA,988,0,0,0.0,0.0,1,0,2,1,3,4,8,0,0,Attchd,1954.0,RFn,2.0,520.0,3,3,N,0,0,0,0,0,0,No,0,2,2008,WD ,Normal,11.635143097694478,8.508768280407985,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1624,1424,168000,30,RL,60.0,7290,Pave,4,Lvl,AllPub,Corner,3,SWISU,Norm,Norm,1Fam,1Story,7,8,1921,1950,Gable,CompShg,WdShing,Wd Shng,BrkFace,174.0,3,3,BrkTil,3,3,0,1,0.0,1,0.0,1228.0,1228.0,GasA,5,Y,SBrkr,1424,0,0,0.0,0.0,2,0,2,1,3,7,8,1,4,Attchd,1921.0,Unf,1.0,312.0,3,3,Y,0,0,90,0,0,0,No,0,4,2008,WD ,Normal,12.031719258385396,9.063687301660066,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
613,1192,135000,50,RL,60.0,10800,Pave,4,Lvl,AllPub,Inside,3,NAmes,Norm,Norm,1Fam,1.5Fin,4,4,1949,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,CBlock,3,3,0,1,0.0,1,0.0,720.0,720.0,GasA,3,N,FuseA,720,472,0,0.0,0.0,1,1,4,1,3,6,8,0,0,No,,No,0.0,0.0,0,0,Y,0,0,0,0,0,0,No,0,12,2006,WD ,Abnorml,11.813030057420567,8.79222359038624,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1425,1792,186500,60,RL,93.0,10261,Pave,3,Lvl,AllPub,Inside,3,Gilbert,Norm,Norm,1Fam,2Story,6,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,318.0,3,3,PConc,4,3,0,1,0.0,1,0.0,936.0,936.0,GasA,5,Y,SBrkr,962,830,0,1.0,0.0,2,1,3,1,3,8,8,1,3,Attchd,2000.0,Fin,2.0,451.0,3,3,Y,0,0,0,0,0,0,No,0,5,2008,WD ,Normal,12.136186518066006,9.41881066324255,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1168,1641,316500,20,RL,79.0,14463,Pave,3,HLS,AllPub,Corner,3,Timber,Norm,Norm,1Fam,1Story,9,5,2008,2008,Gable,CompShg,CemntBd,CmentBd,BrkFace,406.0,5,3,PConc,5,3,3,6,1115.0,1,0.0,526.0,1641.0,GasA,5,Y,SBrkr,1641,0,0,1.0,0.0,2,0,3,1,5,7,8,0,0,Attchd,2008.0,Fin,3.0,885.0,3,3,Y,0,95,0,0,0,0,No,0,1,2009,WD ,Normal,12.665078520566368,9.282246113901804,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
916,1792,372397,20,RL,121.0,13758,Pave,3,Lvl,AllPub,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,9,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,430.0,5,3,PConc,5,3,3,6,1232.0,1,0.0,560.0,1792.0,GasA,5,Y,SBrkr,1792,0,0,1.0,0.0,2,0,2,1,4,6,8,1,4,Attchd,2005.0,RFn,3.0,925.0,3,3,Y,204,49,0,0,0,0,No,0,3,2006,New,Partial,12.82771576849868,9.41881066324255,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1006,1342,105000,50,RM,50.0,6000,Pave,4,Lvl,AllPub,Inside,3,BrkSide,Norm,Norm,1Fam,1.5Fin,6,5,1939,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,0,2,264.0,1,0.0,475.0,739.0,GasA,5,Y,SBrkr,874,468,0,0.0,0.0,2,0,2,2,3,7,8,1,4,Detchd,1939.0,Unf,1.0,240.0,3,3,Y,0,0,0,0,0,0,No,0,4,2008,WD ,Normal,11.56171562913966,8.972837489095259,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
592,1874,297900,60,RL,80.0,9428,Pave,4,Lvl,AllPub,Inside,3,Somerst,Norm,Norm,1Fam,2Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,310.0,4,3,PConc,4,3,2,6,729.0,1,0.0,226.0,955.0,GasA,5,Y,SBrkr,955,919,0,1.0,0.0,2,1,3,1,4,8,8,1,4,Attchd,2007.0,Fin,3.0,880.0,3,3,Y,168,108,0,0,0,0,No,0,2,2008,New,Partial,12.604513138701373,9.488497082671808,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
934,1040,133000,20,RL,75.0,7500,Pave,4,Lvl,AllPub,Corner,3,Sawyer,Feedr,Norm,1Fam,1Story,5,5,1963,1963,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,0,5,824.0,1,0.0,216.0,1040.0,GasA,2,Y,SBrkr,1040,0,0,1.0,0.0,1,1,3,1,3,5,8,0,0,Attchd,1963.0,Fin,1.0,308.0,3,3,Y,0,0,220,0,0,0,MnPrv,0,6,2010,WD ,Normal,11.79810440720389,8.585915478191833,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
760,1689,271000,20,RL,,13265,Pave,3,Lvl,AllPub,CulDSac,3,Mitchel,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,CemntBd,CmentBd,BrkFace,148.0,4,3,PConc,4,3,0,6,1218.0,1,0.0,350.0,1568.0,GasA,5,Y,SBrkr,1689,0,0,1.0,0.0,2,0,3,1,4,7,8,2,4,Attchd,2002.0,RFn,3.0,857.0,3,3,Y,150,59,0,0,0,0,No,0,7,2008,WD ,Normal,12.509874099861838,9.326896287999826,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
742,1525,235000,20,RL,70.0,9100,Pave,4,Lvl,AllPub,Inside,3,CollgCr,Norm,Norm,1Fam,1Story,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,244.0,4,3,PConc,4,3,2,6,1400.0,1,0.0,125.0,1525.0,GasA,5,Y,SBrkr,1525,0,0,1.0,0.0,2,0,3,1,4,6,8,0,0,Attchd,2000.0,RFn,2.0,541.0,3,3,Y,219,36,0,0,0,0,No,0,9,2006,WD ,Normal,12.367340793126296,9.169050415039841,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2368,2000,470000,20,RL,90.0,18261,Pave,3,HLS,AllPub,Inside,3,StoneBr,Norm,Norm,1Fam,1Story,9,5,2005,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,420.0,5,3,PConc,5,3,3,6,1416.0,1,0.0,494.0,1910.0,GasA,5,Y,SBrkr,2000,0,0,1.0,0.0,2,1,3,1,5,8,8,2,4,Attchd,2005.0,Unf,3.0,722.0,3,3,Y,351,102,0,0,123,0,No,0,9,2006,WD ,Normal,13.060487973686241,9.590174570071072,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
825,1632,143000,90,RL,100.0,25000,Pave,4,Low,AllPub,Inside,3,Mitchel,Norm,Norm,Duplex,1Story,5,4,1967,1967,Gable,CompShg,HdBoard,Plywood,None,0.0,3,3,CBlock,3,3,2,1,0.0,1,0.0,1632.0,1632.0,GasA,3,Y,SBrkr,1632,0,0,0.0,0.0,2,0,4,2,3,8,8,0,0,Attchd,1967.0,Unf,2.0,576.0,3,3,P,0,0,0,0,0,0,No,0,6,2007,WD ,Normal,11.870599909242044,9.273737594197014,False,False,False,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2057,1028,115000,30,RM,56.0,8960,Pave,4,Lvl,AllPub,Inside,3,OldTown,Artery,Norm,1Fam,1Story,5,6,1927,1950,Gable,CompShg,WdShing,Wd Shng,None,0.0,3,3,CBlock,3,3,0,1,0.0,1,0.0,1008.0,1008.0,GasA,4,Y,FuseA,1028,0,0,0.0,0.0,1,0,2,1,3,5,8,1,4,Detchd,1927.0,Unf,2.0,360.0,3,3,Y,0,0,130,0,0,0,No,0,3,2010,WD ,Normal,11.652687407345388,8.568439833714663,False,False,True,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1056,1458,176000,160,FV,34.0,3230,Pave,4,Lvl,AllPub,Corner,3,Somerst,Norm,Norm,TwnhsE,2Story,6,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,BrkFace,1129.0,3,3,PConc,4,3,0,6,419.0,1,0.0,310.0,729.0,GasA,4,Y,SBrkr,729,729,0,0.0,0.0,2,1,2,1,3,5,8,1,2,Detchd,1999.0,Unf,2.0,440.0,3,3,Y,0,32,0,0,0,0,No,0,6,2007,WD ,Normal,12.078239274020289,9.099920077166948,False,False,True,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
943,1295,213750,120,RL,40.0,3840,Pave,3,Lvl,AllPub,Inside,3,Greens,Norm,Norm,TwnhsE,1Story,8,6,1978,1998,Gable,CompShg,Wd Sdng,Plywood,None,0.0,4,3,CBlock,4,3,3,6,881.0,2,176.0,0.0,1057.0,GasA,3,Y,SBrkr,1295,0,0,1.0,0.0,1,0,1,1,4,4,8,2,3,Attchd,1978.0,Fin,2.0,571.0,3,3,Y,133,89,0,0,0,0,No,0,7,2007,WD ,Normal,12.272562386799006,8.918380618340658,False,False,False,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2279,1800,141000,90,RL,80.0,8000,Pave,4,Lvl,AllPub,Corner,3,NAmes,Artery,Norm,Duplex,1Story,5,4,1961,1961,Gable,CompShg,BrkFace,BrkFace,None,0.0,3,3,CBlock,3,3,0,1,0.0,1,0.0,1800.0,1800.0,GasA,5,N,SBrkr,1800,0,0,0.0,0.0,2,0,6,2,3,10,8,0,0,No,,No,0.0,0.0,0,0,Y,0,0,0,0,0,0,No,0,7,2007,WD ,Normal,11.856515169360305,9.425740015842292,False,False,False,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2453,1144,150000,20,RL,73.0,8760,Pave,4,Lvl,AllPub,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,7,1956,1956,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,164.0,4,3,CBlock,3,3,0,5,856.0,1,0.0,313.0,1169.0,GasA,3,Y,SBrkr,1144,0,0,1.0,0.0,1,0,3,1,3,6,8,0,0,Attchd,1956.0,RFn,1.0,286.0,3,3,Y,257,0,0,0,0,0,No,0,6,2009,WD ,Normal,11.918390573078392,8.729886987994911,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1378,1606,255900,20,RL,70.0,9658,Pave,3,Lvl,AllPub,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,383.0,4,3,PConc,4,3,0,1,0.0,1,0.0,1598.0,1598.0,GasA,4,Y,SBrkr,1606,0,0,0.0,0.0,2,0,3,1,4,6,8,1,4,Attchd,2006.0,RFn,3.0,871.0,3,3,Y,230,60,0,0,0,0,No,0,7,2009,WD ,Normal,12.45254202214788,9.248907052727247,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1881,1040,93500,90,RL,60.0,8544,Pave,4,Lvl,AllPub,Inside,3,NAmes,Norm,Norm,Duplex,1Story,3,4,1950,1950,Gable,CompShg,Stucco,Stone,None,0.0,3,3,CBlock,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,4,N,FuseF,1040,0,0,0.0,0.0,2,0,2,2,3,6,8,0,0,Detchd,1949.0,Unf,2.0,400.0,3,3,Y,0,0,0,0,0,0,No,0,7,2006,WD ,Normal,11.44571671527678,8.585915478191833,False,False,False,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2315,2142,193500,60,RL,100.0,13000,Pave,4,Lvl,AllPub,Corner,3,NAmes,Norm,Norm,1Fam,2Story,6,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,BrkFace,576.0,3,4,CBlock,4,3,0,3,448.0,1,0.0,448.0,896.0,GasA,3,Y,SBrkr,1182,960,0,0.0,0.0,2,1,4,1,4,8,8,1,4,Attchd,1968.0,Fin,1.0,509.0,3,3,Y,0,72,0,0,252,0,No,0,6,2009,WD ,Normal,12.173032791451973,9.697776682388254,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
632,1936,230500,60,RL,106.0,11194,Pave,3,Lvl,AllPub,Corner,3,Gilbert,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,40.0,4,3,PConc,4,3,0,1,0.0,1,0.0,1406.0,1406.0,GasA,5,Y,SBrkr,1454,482,0,0.0,0.0,2,1,3,1,4,7,8,1,3,Attchd,2000.0,RFn,2.0,504.0,3,3,Y,188,124,0,0,0,0,No,0,11,2006,WD ,Normal,12.348006141418841,9.539307065981419,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
196,1137,176000,20,RL,54.0,13811,Pave,3,Lvl,AllPub,Inside,3,Timber,Norm,Norm,1Fam,1Story,6,6,1987,1987,Gable,CompShg,HdBoard,HdBoard,BrkFace,72.0,3,3,CBlock,4,4,0,6,980.0,2,40.0,92.0,1112.0,GasA,4,Y,SBrkr,1137,0,0,1.0,0.0,2,0,2,1,4,5,8,1,3,Attchd,1987.0,Unf,2.0,551.0,3,3,Y,125,0,0,0,0,0,No,0,7,2006,WD ,Normal,12.078239274020289,8.720591275237515,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2542,1478,157500,20,RL,,17600,Pave,3,Lvl,AllPub,Inside,3,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,30.0,3,3,CBlock,3,3,0,4,1270.0,1,0.0,208.0,1478.0,GasA,5,Y,FuseA,1478,0,0,1.0,0.0,2,0,3,1,3,6,8,2,4,Attchd,1960.0,Unf,2.0,498.0,3,3,Y,0,40,0,0,0,0,No,0,12,2009,WD ,Normal,11.967180737247824,9.120863794389226,False,False,False,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
