,ExterCond,Fireplaces,BsmtQual,GarageCars,BsmtFinType1,BsmtUnfSF,MSSubClass_50,years_since_remodeled_,BsmtFullBath,MSSubClass_60,HouseStyle_SFoyer,LotArea,TotRmsAbvGrd,log_OpenPorchSF,BsmtFinType2,BldgType_TwnhsE,MSSubClass,yeo_GarageArea,MiscVal,FullBath,BedroomAbvGr,BsmtCond,MSSubClass_30,HouseStyle_2Story,house_age_,KitchenQual,HeatingQC,2ndFlrSF,log_MasVnrArea,FireplaceQu,log_WoodDeckSF,BsmtFinSF2,PavedDrive_Y,GarageYrBlt,OverallQual,bc_LotArea,BsmtFinSF1,HalfBath,yeo_TotalBsmtSF,GrLivArea,LotShape,LandSlope,yeo_LotFrontage,ExterQual,log_first_FlrSF,GarageQual,bc_GrLivArea
1584,3,1,3,2.0,2,480.0,1,60,0.0,0,0,6240,7,2.3978952727983707,1,0,50,186.68614124996066,0,2,4,3,0,0,80,3,3,608,0.0,4,0.0,0.0,1,1930.0,5,47.5979945430796,448.0,0,269.6766450253201,1536,4,3,25.286793167264346,3,6.833031732786201,3,8.793821068024211
244,3,1,4,3.0,1,1706.0,0,3,0.0,1,0,13069,11,3.9318256327243257,1,0,60,316.6301367234057,0,2,5,3,0,1,3,5,5,1238,6.220590170099739,5,5.272999558563747,0.0,1,2004.0,8,61.06226981690994,0.0,1,435.31102987276944,2956,3,3,41.67902380450817,4,7.4489161025442,3,9.73939860396042
735,3,0,3,1.0,4,141.0,0,44,1.0,0,1,10205,6,4.290459441148391,1,0,85,127.04114501149128,0,1,3,3,0,0,44,3,3,0,0.0,0,5.017279836814924,0.0,1,1962.0,5,56.199994704185826,784.0,0,268.9903187362957,999,3,3,31.515472232806285,3,6.906754778648554,3,8.188443045683336
2154,3,0,3,1.0,4,295.0,1,7,1.0,0,0,8635,6,0.0,6,0,50,105.79375382183011,0,1,2,3,0,0,60,3,3,213,0.0,0,0.0,41.0,1,1948.0,5,53.126398603056025,336.0,0,209.15839560567875,1285,4,3,24.524111984914725,3,6.977281341630747,3,8.541216655158218
2490,4,0,3,1.0,3,200.0,1,13,0.0,0,0,5830,7,0.0,1,0,50,148.51825536973794,0,1,3,3,0,0,60,3,5,582,0.0,0,0.0,0.0,1,1950.0,5,46.511923599334914,788.0,1,283.30513921027733,1612,4,3,25.665491498607746,3,6.937314081223682,3,8.86256650621839
932,3,1,3,2.0,1,764.0,0,57,0.0,0,0,13515,8,0.0,1,0,70,199.3209887308378,0,1,3,3,0,1,88,3,5,764,0.0,4,0.0,0.0,0,1940.0,6,61.751869563119776,0.0,0,231.39909223920947,1824,4,3,28.270628470312467,3,6.966024187106113,3,9.03917269373605
1263,3,1,3,2.0,3,336.0,0,17,1.0,0,0,5700,6,0.0,1,0,70,179.0121657210988,0,1,3,3,0,1,78,4,4,672,0.0,4,0.0,0.0,1,1979.0,7,46.15671631132212,336.0,1,209.15839560567875,1344,3,3,28.270628470312467,3,6.51025834052315,3,8.60456897194043
814,3,0,4,3.0,6,335.0,0,7,1.0,0,0,11664,6,4.543294782270004,1,0,20,403.06877146700174,0,2,3,3,0,0,7,4,5,0,0.0,0,5.572154032177765,0.0,1,2002.0,7,58.779048746257416,1234.0,0,407.5898586397598,1611,4,3,38.71977333037905,4,7.384610383176974,3,8.861682171224393
1807,3,0,4,2.0,6,422.0,0,5,1.0,0,0,8736,6,4.48863636973214,5,0,20,220.39813927203238,0,2,3,3,0,0,6,4,5,0,0.0,0,5.262690188904886,360.0,1,2003.0,7,53.335099896548854,771.0,0,404.3190047118437,1553,3,3,31.160195076430394,4,7.347943823148687,3,8.809475147351087
845,3,0,3,2.0,1,1179.0,0,47,0.0,0,0,8240,5,0.0,1,0,20,230.7652237179112,0,1,2,3,0,0,47,3,4,0,5.293304824724492,0,0.0,0.0,0,1960.0,6,52.29383171498496,0.0,0,325.5650546199036,1179,4,3,35.34637450025126,3,7.072421900537371,3,8.420101831862908
389,3,2,4,2.0,6,0.0,0,27,1.0,0,1,7032,4,0.0,1,0,90,224.06946517886996,0,1,2,3,0,0,27,3,3,0,0.0,3,3.7612001156935624,0.0,1,1979.0,5,49.56541253942876,943.0,0,273.10113915917105,943,3,3,32.924431198975604,3,6.849066282633458,3,8.108206149157946
1768,4,0,3,1.0,1,662.0,0,17,0.0,0,0,3068,6,0.0,1,0,70,83.53080145327829,0,1,3,3,0,1,90,3,5,662,0.0,0,0.0,0.0,1,1920.0,6,37.33326374892395,0.0,0,206.70265939627552,1324,4,3,25.286793167264346,3,6.495265555937008,3,8.583395512782518
1976,3,1,0,2.0,0,0.0,0,56,0.0,1,0,14762,7,4.976733742420574,0,0,60,245.82309848174532,0,2,2,0,0,1,58,3,4,720,0.0,3,4.795790545596741,0.0,0,1979.0,5,63.60109677035031,0.0,0,0.0,2320,2,3,29.90666036374912,3,7.344072850573066,3,9.386000792640957
1446,3,1,4,3.0,6,170.0,0,7,1.0,1,0,10566,8,4.394449154672439,1,0,60,238.01990866345264,0,2,3,3,0,1,7,4,5,1124,5.568344503761097,3,5.288267030694535,0.0,1,1999.0,8,56.8604091473489,920.0,1,306.0729714653837,2214,3,3,30.803659333427245,4,6.993932975223189,3,9.318254584587885
898,3,1,4,2.0,6,405.0,0,4,1.0,0,0,3242,6,3.6109179126442243,1,1,120,186.04940105524466,0,2,2,3,0,0,4,4,5,0,5.4638318050256105,4,4.919980925828125,0.0,1,2003.0,7,38.05038222327795,1000.0,0,373.7060154839188,1405,4,3,23.75409601468026,4,7.247792581767846,3,8.667343649740554
2288,3,1,3,2.0,1,1444.0,0,32,0.0,0,0,10400,5,3.2188758248682006,1,0,20,184.4553880311714,0,2,2,3,0,0,32,3,3,0,4.795790545596741,4,0.0,0.0,1,1976.0,6,56.558670170990446,0.0,0,381.8377340731955,1444,4,3,35.34637450025126,3,7.275172319452771,3,8.706132319157694
2296,3,2,3,1.0,3,94.0,1,59,0.0,0,0,8212,6,0.0,1,0,50,111.54698368332222,0,1,3,3,0,0,68,3,5,444,0.0,4,4.442651256490317,0.0,1,1940.0,5,52.233790445952536,626.0,0,220.83885784791423,1298,4,3,22.584490430565133,3,6.74993119378857,3,8.555410103764801
1303,3,0,4,2.0,1,1168.0,0,14,0.0,0,0,9556,6,3.091042453358316,1,0,20,167.35883249027114,0,2,3,3,0,0,15,4,4,0,3.970291913552122,0,0.0,0.0,1,1992.0,7,54.97149580285804,0.0,0,323.1735784898755,1187,3,3,29.90666036374912,3,7.079184394609668,3,8.429597254162694
500,3,0,3,1.0,4,0.0,1,59,0.0,0,0,6000,6,0.0,1,0,50,105.79375382183011,0,1,3,3,0,0,73,3,3,567,0.0,0,0.0,0.0,1,1936.0,4,46.96837037948819,672.0,0,209.15839560567875,1324,4,3,24.524111984914725,3,6.6293632534374485,3,8.583395512782518
107,3,0,4,0.0,2,0.0,0,38,1.0,0,1,1491,3,3.2188758248682006,6,1,180,0.0,0,1,1,3,0,0,38,3,5,0,0.0,0,4.574710978503383,480.0,1,1972.0,4,29.02586785223892,150.0,0,198.78973514632168,630,4,3,12.365703222657439,3,6.4457198193855785,0,7.553366465416997
1647,3,1,4,2.0,4,402.0,0,39,0.0,0,0,8724,5,0.0,1,0,20,177.08211906845386,0,1,3,3,0,0,39,3,4,0,0.0,1,0.0,0.0,1,1968.0,5,53.310390085430605,492.0,0,261.8698116608158,894,4,3,44.89187878392238,3,6.795705775173514,3,8.034186313440326
86,3,1,3,2.0,6,166.0,0,28,1.0,0,0,7176,6,0.0,1,0,80,228.94351912538363,0,1,3,4,0,0,28,3,2,0,5.303304908059076,2,4.882801922586371,0.0,1,1979.0,6,49.90666256967909,794.0,0,276.96806722561774,1040,3,3,32.57397198464001,3,6.946975992135418,3,8.24451682919877
206,3,1,4,2.0,6,153.0,0,29,1.0,1,0,13005,10,5.278114659230517,1,0,60,187.95815213364466,0,2,4,3,0,1,29,5,3,1200,5.631211781821365,3,5.666426688112432,0.0,1,1983.0,7,60.9620038202137,692.0,1,250.50487619775083,2353,3,3,40.043418168735606,4,7.050122520269059,3,9.40649074958007
16,3,0,4,2.0,6,349.0,0,0,1.0,0,0,8814,6,4.59511985013459,1,0,20,195.55005358876136,0,2,3,3,0,0,2,4,5,0,4.394449154672439,0,5.579729825986222,0.0,1,2005.0,7,53.495152367742,925.0,0,346.02417144144005,1274,4,3,31.160195076430394,4,7.149916836132109,3,8.5290996305619
483,3,1,3,1.0,1,624.0,0,2,1.0,0,0,3600,5,4.6443908991413725,1,0,70,120.05440519189877,0,1,3,3,0,1,92,5,5,624,0.0,4,0.0,0.0,0,1917.0,6,39.44715952885701,0.0,0,197.2965226666894,1288,4,3,28.270628470312467,3,6.498282149476434,3,8.544504160129382
1540,3,0,3,2.0,6,203.0,0,8,1.0,0,0,9230,6,4.174387269895637,1,0,20,307.5647393333577,0,1,1,3,0,0,41,4,4,0,5.117993812416755,0,0.0,0.0,1,1977.0,5,54.33284763489737,661.0,1,254.92812560621095,1200,4,3,32.222339398574626,3,7.090076835776092,3,8.444898137783488
120,3,1,4,2.0,5,0.0,0,30,0.0,0,1,7703,6,0.0,1,0,85,194.28942719976277,0,1,3,3,0,0,30,3,5,0,3.713572066704308,1,5.7430031878094825,0.0,1,1978.0,6,51.11713816054696,450.0,0,152.47126177986877,1034,3,3,32.57397198464001,3,6.9411900550683745,3,8.236443790781914
1928,3,1,5,3.0,6,292.0,0,4,1.0,1,0,10574,9,4.962844630259907,1,0,60,270.66486276057,0,2,4,3,0,1,4,5,5,1162,4.844187086458591,4,5.41610040220442,0.0,1,2004.0,8,56.87486892051185,856.0,1,318.81294174282687,2332,3,3,37.04504480792576,4,7.064759027791802,3,9.393483603759936
1781,3,0,3,4.0,1,858.0,0,36,0.0,0,0,8294,5,0.0,1,0,20,186.68614124996066,0,1,3,3,0,0,36,3,3,0,0.0,0,0.0,0.0,1,1974.0,4,52.409234008306775,0.0,0,253.53359739303303,872,4,3,31.869513131926702,3,6.77078942390898,3,7.999688055693114
2233,4,1,3,1.0,5,102.0,0,47,1.0,0,0,8163,6,0.0,4,0,80,282.3121149806687,0,1,3,3,0,0,47,3,3,0,4.859812404361672,3,4.465908118654584,294.0,1,1959.0,5,52.12838157514837,748.0,0,317.9388553865682,1144,4,3,31.869513131926702,3,7.042286171939743,3,8.377824772107335
511,3,0,3,1.0,1,1041.0,0,51,0.0,0,0,7350,6,0.0,1,0,20,124.95442181727825,0,1,3,3,0,0,51,3,4,0,0.0,0,0.0,0.0,1,1958.0,5,50.312834839361706,0.0,0,295.19562818439067,1041,4,3,32.222339398574626,3,6.947937068614969,3,8.245858023007727
1281,3,1,4,2.0,4,326.0,0,9,0.0,1,0,7399,7,2.3978952727983707,1,0,60,216.71291953629375,0,2,3,3,0,1,10,4,5,975,7.3783837129967145,3,0.0,0.0,1,1997.0,7,50.42603214387984,649.0,1,280.367811304973,1950,3,3,30.445841936158413,4,6.882437470997847,3,9.135087051138669
715,3,0,3,0.0,1,546.0,0,36,0.0,0,0,1526,5,3.5553480614894135,1,0,160,0.0,0,1,3,3,0,1,36,3,3,546,0.0,0,0.0,0.0,1,1970.0,4,29.264368038567415,0.0,1,177.58869891785008,1092,4,3,12.365703222657439,3,6.302618975744905,0,8.312682258123306
1841,3,0,3,0.0,1,576.0,1,6,0.0,0,0,8800,7,5.081404364984463,1,0,50,0.0,0,1,3,2,0,0,100,3,4,348,0.0,0,0.0,0.0,0,1910.0,4,53.46649629559412,0.0,0,185.23612494144763,1140,4,3,26.417804602405578,3,6.674561391814426,0,8.372914936098502
2141,3,1,4,2.0,1,935.0,0,8,0.0,1,0,9084,8,3.367295829986474,1,0,60,180.93752026799237,0,2,3,3,0,1,8,3,4,677,0.0,3,0.0,0.0,1,1998.0,7,54.04183625405877,0.0,1,271.27621619980977,1632,3,3,29.36445729991204,3,6.86171134048073,3,8.880144393067052
666,3,1,5,3.0,6,252.0,0,1,1.0,1,0,11003,10,3.970291913552122,1,0,60,286.94044372652513,0,2,3,3,0,1,1,5,5,981,5.081404364984463,5,5.1298987149230735,0.0,1,2008.0,10,57.63959264241237,765.0,1,289.827838729415,2007,4,3,37.04504480792576,5,6.933423025730715,3,9.176552667190437
1799,3,0,0,2.0,0,0.0,0,6,0.0,0,0,8777,5,4.574710978503383,0,0,20,199.3209887308378,0,2,2,0,0,0,60,4,5,0,0.0,0,0.0,0.0,0,2002.0,4,53.419350926205595,0.0,0,0.0,1126,4,3,30.803659333427245,3,7.026426808699636,3,8.355600389761099
2234,3,0,3,2.0,1,1075.0,0,57,0.0,0,0,9639,7,0.0,1,0,70,141.44214561939054,0,2,4,3,0,1,107,3,5,642,0.0,0,0.0,0.0,0,1935.0,4,55.13171808032859,0.0,1,302.7545908033629,1798,4,3,27.163588916930486,3,7.052721049232323,3,9.018597667955286
645,3,0,4,2.0,4,594.0,0,7,0.0,1,0,9453,7,4.2626798770413155,1,0,60,179.33338201648056,0,2,3,3,0,1,17,4,5,730,0.0,0,5.916202062607435,0.0,1,1993.0,7,54.77134127271175,402.0,1,285.10857996958333,1744,3,3,31.869513131926702,4,6.921658184151129,3,8.974944101251497
954,3,1,3,2.0,3,486.0,0,54,0.0,0,0,22692,6,4.174387269895637,1,0,20,238.92320287860989,0,2,3,3,0,0,54,3,3,0,0.0,3,0.0,0.0,0,1953.0,5,73.39193694456898,587.0,0,302.31138803791754,1630,3,3,29.72626599973727,3,7.396335293800808,3,8.87839586033992
1165,3,2,3,2.0,1,808.0,0,57,0.0,0,0,7200,5,0.0,1,0,30,153.8587513012506,0,1,2,3,1,0,67,3,5,0,5.634789603169249,4,0.0,0.0,1,1940.0,5,49.96308260564397,0.0,0,241.82893419722348,1072,4,3,28.270628470312467,3,6.977281341630747,3,8.286838088791939
1188,3,0,4,2.0,4,625.0,0,15,0.0,0,0,9600,4,0.0,1,0,20,172.5600095072593,0,2,2,3,0,0,60,4,3,0,0.0,0,5.673323267171493,0.0,1,1996.0,4,55.05655052820541,442.0,0,300.98070886057684,1067,4,3,28.270628470312467,3,6.9726062513017535,3,8.280305335917413
1100,3,0,3,1.0,5,75.0,0,53,0.0,0,0,17140,6,0.0,1,0,20,121.45893502927504,0,1,3,3,0,0,53,3,5,0,0.0,0,0.0,0.0,1,1956.0,4,66.85144084132008,1059.0,0,315.7507481860674,1229,4,3,29.72626599973727,3,7.113956109566034,3,8.478469936879605
611,3,1,3,2.0,5,102.0,0,32,1.0,0,0,13350,5,0.0,1,0,20,173.8547455248797,0,1,3,3,0,0,32,3,3,0,0.0,2,5.488937726156687,0.0,1,1974.0,5,61.49858234159814,762.0,0,254.92812560621095,894,3,3,42.003724614378015,3,6.795705775173514,3,8.034186313440326
2294,3,0,4,1.0,6,33.0,0,25,1.0,0,0,1700,7,3.6109179126442243,1,0,150,177.08211906845386,0,2,2,3,0,0,26,4,3,680,0.0,0,5.241747015059643,0.0,1,1980.0,7,30.397739963405463,397.0,1,147.09906171269725,1700,4,3,35.68810929631512,4,6.779921907472252,4,8.938412371767237
2374,3,1,2,1.0,2,240.0,0,57,1.0,0,0,4480,4,4.812184355372417,1,0,30,85.05356483372242,0,1,2,2,1,0,85,2,3,0,0.0,4,0.0,0.0,0,1922.0,5,42.51798612299071,782.0,0,290.9483610901243,1022,4,3,26.791494905908763,3,6.92951677076365,3,8.220163036552874
994,3,1,4,3.0,6,660.0,0,10,1.0,1,0,11787,8,4.110873864173311,1,0,60,293.27695105953615,0,2,3,3,0,1,11,4,5,1015,6.38856140554563,3,5.480638923341991,0.0,1,1996.0,7,58.98619024368549,719.0,1,368.2578350623097,2398,3,3,40.372187275017524,4,7.232010331664759,3,9.43399504917442
