,SalePrice
1034,177625
685,127000
1420,270000
1529,131900
819,104000
1654,88000
83,134900
1914,263400
1311,220000
1088,134432
1789,300000
1439,162500
2521,255500
919,187000
1440,190000
2170,153000
1869,144000
1602,240000
205,50000
328,100000
808,129000
1510,256300
1196,192140
1057,125000
1943,172500
528,89500
1281,239000
656,144000
2403,300000
1442,137500
2447,179500
858,105500
1650,183900
2098,123900
1694,116000
844,133000
833,132000
879,99500
1614,257000
213,149900
472,340000
2262,133500
131,114000
1039,175000
439,154500
849,125900
2510,172500
476,285000
1419,149500
904,68104
1609,127000
853,78500
448,120500
2294,148400
129,193500
2083,172500
103,468000
635,405000
1084,126175
784,342643
1732,165000
969,121500
1102,76000
1415,115000
165,272000
2203,81500
1260,190000
1618,272000
907,145500
2142,155900
349,127000
2160,250000
1494,155000
371,122250
2434,284000
1790,139000
1276,143000
507,156000
1624,168000
1335,193000
2373,221800
395,230500
625,170440
695,136500
947,139500
761,119000
1382,187500
1771,124000
263,383000
1383,225000
2449,226000
2215,110000
846,142500
783,324000
1401,172000
645,194500
2395,205000
1875,300000
1658,180000
2528,193000
771,177500
2318,141000
51,193800
2258,146500
493,187500
601,112000
2520,170000
1969,134500
1375,270000
1121,215000
2351,137900
993,181900
1035,235000
1872,120000
238,91000
97,86000
779,140000
2202,85000
111,172500
1220,285000
1636,333168
183,115000
2426,274900
1268,140000
613,135000
1839,88750
1961,170000
1557,138500
2558,163000
2423,180000
81,159000
484,124000
397,125500
1291,280000
1613,111000
1410,93900
1764,108000
2208,158000
2263,110000
1156,166000
2505,125000
1928,316000
1364,157900
88,100000
2504,105000
38,195000
1716,82500
2369,147000
1700,191000
571,131500
2579,215000
2270,274000
1897,208500
934,133000
1318,125000
261,175500
1290,197600
1801,96000
514,124000
1534,274300
2324,251000
599,120000
356,141000
608,125000
2104,236500
239,93500
1223,215000
1840,104900
2479,149000
119,109008
2193,180000
1816,194000
2155,118500
751,254750
1960,260000
374,106900
1477,260000
2439,195500
1067,108500
1321,305000
1125,217000
463,255000
1527,165400
1760,161500
1158,136900
2078,139500
729,418000
410,176000
2485,214000
1391,88000
2303,84900
1408,150000
1224,139000
1089,216837
2349,282500
1693,153500
1191,170000
867,143900
1296,157000
2412,239000
382,187100
2330,116500
1262,112000
1630,265000
1947,204000
541,169000
1502,145000
2026,117500
59,235000
1320,188000
2175,139000
1233,61000
188,133700
1895,205000
681,140000
2509,144000
1274,149900
1845,115400
316,135000
1238,155000
1475,124900
123,127000
2087,98300
874,235000
660,145000
531,160000
255,173000
1054,335000
662,139000
2253,197900
230,137000
901,190000
2056,140500
765,135000
2090,149000
2530,225000
380,187000
2075,152500
1745,225000
864,169900
1288,207000
787,216500
101,228500
1037,108000
2275,174500
2037,116000
1996,188900
2119,215700
877,191750
2034,203000
675,127000
566,147000
290,479069
2181,64000
798,237000
523,181000
626,246500
495,45000
1583,194700
2118,246900
1616,178900
1782,203000
158,245500
790,143250
2342,159895
2360,179200
366,113000
1815,174000
1842,128500
228,302000
912,79000
417,151000
1230,125000
742,235000
79,67500
1214,107500
492,164000
1922,205000
1169,197500
2508,109500
2310,211000
1342,147000
824,99500
1791,260000
2132,99600
2041,128600
2027,173000
1481,271900
1168,316500
2350,309000
2289,255000
2210,186700
1788,101000
719,185900
1751,109500
1024,188000
413,162000
592,297900
2016,182900
2188,105500
2329,103000
2346,170000
1178,402000
2147,254000
1372,290000
1797,175000
1951,102900
127,80900
2236,137500
2228,320000
1919,178000
403,125500
150,86900
346,153000
1437,372500
1856,222500
1629,185000
396,130000
394,223000
62,222000
2054,170000
208,236500
496,173000
352,235000
95,148000
1649,149000
1595,218000
1061,122000
1509,130000
959,187000
143,220000
2419,163000
1182,161750
1991,212000
1576,188000
2039,149700
2004,475000
2482,170000
1237,140000
1949,218500
236,187500
1628,99900
222,108538
2424,171000
345,215000
1810,279500
120,153000
1685,110500
588,195500
559,195000
332,378500
1086,148000
2420,105000
1835,196500
193,155000
235,209000
181,79500
628,131400
389,135960
968,115500
2112,155000
1545,239000
669,215000
1356,146000
2488,139000
1843,250000
690,135000
370,122000
1406,136500
1365,177500
1394,195000
331,174000
614,257000
1286,230000
1917,274000
1030,157000
266,164500
1793,145000
1062,375000
2540,136500
1932,205000
2547,120000
545,129900
1142,217000
1807,234500
1676,136905
1997,199500
1730,111250
105,151500
2440,136500
1508,129000
128,135000
630,109000
683,230000
20,181000
870,440000
242,417500
50,150000
1186,348000
915,243000
441,153000
1891,295493
1755,153500
1926,350000
707,214000
138,167000
2542,157500
822,198600
301,87000
2114,145000
172,125500
2525,127500
1682,230000
1688,183500
284,152000
1659,125000
1258,134000
1575,87500
920,173000
1433,128900
2213,157500
2370,100000
1692,105000
734,138000
1812,143750
1234,245000
344,130000
306,181316
2393,225000
2557,135000
922,145500
1313,156000
1402,138887
2430,290000
167,134000
421,213000
225,132000
2401,206000
12,80000
1546,156450
617,392000
1092,129000
90,227875
612,149900
2337,317000
1404,278000
857,158000
2125,265000
876,203160
1396,259000
1282,90500
777,140000
1638,189000
1986,229800
304,162500
2514,337500
855,138000
2451,127000
28,200000
1522,148500
1066,171500
1232,162900
2229,219500
1911,143000
2531,85000
490,260000
1620,167500
74,274725
515,129850
1309,140000
2030,128000
1457,143500
1882,161000
1095,125000
561,175000
179,175900
2002,174850
109,330000
1584,138400
1517,180000
116,159500
293,140000
1100,135000
1072,165000
643,99500
1799,108000
772,105000
2345,110000
1600,116000
622,116000
409,138000
1623,130000
115,125000
288,220000
2481,64500
1181,180000
337,147110
46,215000
747,172500
2364,125000
753,199900
462,183000
1938,215000
673,251000
1201,221500
2316,318750
424,205000
325,120750
664,175000
350,270000
447,195000
709,162000
1924,110000
1722,214000
1221,245350
1149,140000
387,197000
1369,184500
1337,147000
754,185000
451,130000
1194,134900
699,186500
1608,108000
830,240000
950,215000
2408,185000
1734,181000
1413,124000
1409,225000
2567,141000
2372,203000
1177,188000
2247,269500
2006,137500
1253,377426
21,115000
1305,139000
2223,137250
671,128000
2429,187000
1941,108500
845,110000
694,141500
2130,192100
1353,135750
1133,140000
869,207000
604,99900
834,81000
2113,196000
627,246990
902,261500
1747,128950
2051,350000
321,151000
696,125000
1179,228500
624,269500
2399,149000
1011,86000
1480,94900
1090,206900
848,327000
2165,290000
780,176000
605,271500
174,119900
1202,177000
100,210000
1243,301000
741,80000
334,131000
1705,189500
594,162000
1333,155000
1551,147000
2156,159000
1542,219500
2191,168500
327,139900
1933,163500
640,246578
2042,91500
1468,136000
1838,97500
460,250000
1046,133000
1398,202900
1562,177000
1975,115000
419,203000
738,159500
1879,140000
1389,139000
1438,173000
497,128500
375,194000
975,99800
1209,226700
2271,167000
404,176000
1425,186500
93,118000
1769,228500
1849,178000
827,120875
428,128000
1889,160000
2402,85000
282,152000
343,137000
1113,160000
1574,149900
691,308030
0,126000
1582,85000
1707,153000
1416,239500
2021,312500
2003,136000
1993,225000
1131,110000
1247,354000
2291,129900
2150,311500
2576,139600
1159,263550
246,235000
2565,171900
2315,193500
1671,121000
929,178740
2366,119500
1461,145000
1971,135000
365,119000
736,133000
26,201000
1441,129000
680,159434
1250,127000
3,114000
2182,87000
837,130000
292,118900
698,204000
1048,119900
2387,145000
1667,115000
1963,161000
1249,160000
1298,150000
1868,207000
1443,146000
603,324000
1289,129000
63,390000
1579,153000
1883,100000
990,183500
1384,100000
237,220000
650,147000
1967,176000
112,185000
1348,153500
804,213500
1556,141500
577,320000
1834,118000
126,112000
2298,204000
2355,227000
851,137000
2185,137000
7,187687
854,46500
2463,143000
2347,156000
407,535000
153,217500
1566,337000
1004,277500
2285,100000
280,195800
400,97000
1596,115000
1497,269500
1479,161000
1800,137500
2009,255000
504,90000
1744,128500
903,156000
2040,244000
1672,168000
550,155000
1862,161500
1805,142500
2323,57625
1130,174000
945,124000
163,175000
1660,161000
1690,173000
2107,230000
2498,159000
1514,175900
449,144000
941,212999
2445,177500
1532,257500
1847,130000
437,180500
1314,211000
786,132500
873,165000
739,173000
1006,105000
1844,142125
586,78000
1306,157000
348,130000
1028,148500
1163,153900
2502,129900
1541,127000
573,165500
647,231000
595,250000
1251,219990
1558,139900
1308,141000
470,97000
800,260000
281,135000
932,180500
732,139500
2353,191000
1144,462000
1617,100000
2307,143500
584,611657
2195,132000
160,198000
1111,204750
1915,145400
859,171000
952,174000
2361,173000
1331,222000
1219,158000
1215,213000
606,377500
164,160000
2154,127000
1040,362500
1978,58500
2476,138000
329,240000
2011,122600
2492,120500
1429,171000
2390,155000
2141,176500
809,166000
433,150909
1107,160000
2091,226000
860,184000
274,160000
967,135000
2552,129500
2139,174000
1346,143000
885,195500
556,82500
908,142000
1381,165500
2117,125000
509,148500
221,75200
1297,143000
146,278000
1777,130500
1053,167500
1822,117000
508,87000
323,139900
1561,250000
176,226500
1908,226500
168,78000
1400,222000
2529,153900
1392,115000
2257,132500
2177,246000
2237,190000
136,202500
1470,189000
1278,170000
1973,131500
894,192000
197,120000
2338,80000
1483,300000
1792,124400
2084,172000
767,170000
2280,159900
2081,205000
1112,555000
2499,80000
865,130000
1085,132000
1447,382500
199,190000
429,90000
1823,146000
1795,157500
1970,128000
730,275000
297,217500
2121,129000
807,79900
1565,287000
1172,133000
2465,76000
2471,410000
821,131000
1241,168675
1563,127000
2458,83500
623,160500
1445,178000
1718,118000
1162,295000
2260,315500
1640,128000
2469,141000
1022,185900
1750,119500
291,233555
2022,175000
1740,151000
2282,180000
1007,755000
67,254000
24,105500
216,290000
1910,97500
1153,221000
2159,115000
166,115000
207,180000
2322,127500
2089,211000
591,213133
1176,162000
1720,52500
1863,116900
525,140000
2335,118000
469,122000
1350,332000
2169,241600
1531,277000
928,128000
1896,174000
1619,90000
1469,138000
1141,231500
1913,113700
956,269500
1488,130000
25,168165
1134,262280
2197,252000
925,158900
1552,123500
843,329900
1645,147900
1020,230000
2187,279700
749,164900
2371,80500
180,82500
1272,158000
1434,133500
607,131000
1352,241000
2344,218000
1904,165000
1899,95000
94,166000
770,95000
637,144900
1304,173500
2334,218000
1208,150000
1395,172000
1578,108000
1198,132000
275,150000
1152,315000
1206,141500
2080,98000
1104,166000
307,148000
2059,200000
872,149350
86,160500
1435,189000
209,63900
1966,250000
1987,373000
2171,142000
931,163000
2146,145000
2425,55000
130,232500
1723,165000
2071,147500
954,130000
555,260000
2418,170000
1930,173000
1536,106500
2431,116000
201,85000
2023,241500
368,159000
973,148000
1634,228950
2435,123500
816,170000
1954,107900
1316,430000
1905,139500
256,225000
1472,180500
1699,123600
2217,177000
1605,159000
1329,163000
560,376162
1877,134800
373,421250
1684,114504
1167,122000
2024,155000
1204,137000
972,136500
1155,103000
2036,141000
2551,119200
1071,257000
774,185000
324,180000
2251,119600
84,185000
1589,137500
2446,209000
1920,162500
91,111900
430,167900
2339,149500
2105,155000
1345,180000
257,109500
888,160000
1466,184000
1641,169000
388,415000
2383,156500
273,155891
756,132000
1925,128000
1956,191000
2543,124900
2176,117000
802,538000
2076,185000
1207,280000
151,213000
2292,187500
714,104500
544,187500
639,230348
423,398800
659,243500
797,252678
2561,163900
2008,130000
99,211500
2496,451950
1871,130000
2046,266000
755,165000
976,120000
2163,119500
1940,236000
2120,130000
537,200000
1701,155000
2222,212500
2135,345000
705,185485
2362,134500
1828,162000
1778,135000
277,361919
1033,108000
1731,112500
763,124000
835,114000
1653,153000
